Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
World,WLD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.0287641092253,43.397115989962,43.741642448664,44.1061701492112,44.4674662197671,44.8420662222726,45.2029313869503,45.5668365342818,45.9354514000303,46.3078439730823,46.6893060467608,47.1375321817242,47.6361765138674,48.1378164839225,48.6436271071559,49.1525676163806,49.6532657416368,50.1445027460066,50.649164555922,51.1491055059421,51.6462671663317,52.1038089343564,52.5547907601911,53.0057687353142,53.4590349721619,53.9164498473432,54.3740394882313,54.8287213540017,55.2779749681171,55.7223795508061,56.1648936361702
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Sustainable Development Goals (SDGs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 07/22/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
