Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Belarus,BLR,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,99.7918395996094,..,..,..,..,..,..,..,..,..,99.8232116699219,..,..,..,..,..,..,..,..,..,99.8728332519531,..
Belgium,BEL,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belize,BLZ,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,77.641471862793,..,..,..,..,..,..,..,..,84.2230529785156,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,BEN,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,39.8766098022461,..,..,..,..,..,..,..,..,..,45.3096199035645,..,..,..,42.3627014160156,..,..,..,..,..,52.4924697875977,..,..,..,..,..,60.9480781555176,..,..
Bermuda,BMU,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.4052124023438,..,..,..,..,..,..,86.0590133666992,..,..,..,..,93.0906295776367,..,..,..
Bolivia,BOL,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,93.896110534668,..,..,..,..,..,..,..,..,97.3237762451172,..,..,..,..,..,99.4413604736328,99.1224975585938,99.3839721679688,..,99.0075225830078,98.9958801269531,..,..,99.399169921875,..,..,..,..,99.5565872192383
Bosnia and Herzegovina,BIH,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,99.0199584960938,..,..,..,..,..,..,..,..,99.7939300537109,..,..,..,..,..,..,..,..,..,..,99.4623107910156,..,99.6624298095703,..,..,..,..,..,..,..
Botswana,BWA,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,89.25830078125,..,..,..,..,..,..,..,..,..,..,..,93.9574432373047,..,..,..,..,..,..,..,..,..,97.4562911987305,..,..,..,..,..,..,..
Brazil,BRA,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,94.1841125488281,..,..,..,96.8438568115234,..,97.5822982788086,97.8006286621094,97.8436279296875,98.0655364990234,97.5141220092773,98.4869232177734,98.6196594238281,98.7366790771484,98.8456878662109,98.963752746582,99.1109619140625,99.1554107666016,99.2041702270508,..,..
British Virgin Islands,VGB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,98.0956726074219,..,..,..,..,..,..,..,..,..,98.8937911987305,..,..,..,..,..,..,..,..,..,99.3667678833008,..,..,..,..,..,..,99.7089385986328,..,..
Bulgaria,BGR,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,..,98.2124786376953,..,..,..,..,..,..,..,..,..,97.8650512695313,..,..,..,..,..,..,..,..,..
Burkina Faso,BFA,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,20.180290222168,..,..,..,..,19.4141502380371,..,..,..,..,..,..,31.2292594909668,..,32.9666213989258,32.730598449707,39.2577781677246,..,..,..,..,..,..,50.0962982177734,..,..,..,58.8739814758301,..,..
